DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1578 JUNIPER_ 1599 BARTON_8 1,Line,To - From,-166.5,166.5,Hard Constraint,DJCKHND5,AUG_2025,Off-peak,87.75
1578 JUNIPER_ 1599 BARTON_8 1,Line,To - From,-166.5,166.5,Hard Constraint,DJCKHND5,AUG_2025,PeakWE,17.31
158 PANCAKE 37580 TNPANCA 1,Line,To - From,-64.8,64.8,Hard Constraint,XHA2S89,AUG_2025,Off-peak,1213.52
158 PANCAKE 37580 TNPANCA 1,Line,To - From,-64.8,64.8,Hard Constraint,XHA2S89,AUG_2025,PeakWD,218.56
160008 DC_R_B 909752 RAILRO 1,Line,To - From,-309.6,309.6,Hard Constraint,,AUG_2025,Off-peak,4.96
160008 DC_R_B 909752 RAILRO 1,Line,To - From,-309.6,309.6,Hard Constraint,SKYLSAN8,AUG_2025,PeakWD,9.21
160008 DC_R_B 909752 RAILRO 1,Line,To - From,-309.6,309.6,Hard Constraint,SS_MRAI8,AUG_2025,PeakWE,3.2
1602 GRAHAM_9 1603 OLNEY_P9 1,Line,To - From,-37.8,37.8,Hard Constraint,DGRMGRS8,AUG_2025,Off-peak,679.11
1603 OLNEY_P9 1605 CWDRDSW1 1,Line,To - From,-37.8,37.8,Hard Constraint,DGRMGRS8,AUG_2025,Off-peak,259.93
1603 OLNEY_P9 1605 CWDRDSW1 1,Line,To - From,-37.8,37.8,Hard Constraint,DGRMGRS8,AUG_2025,PeakWD,1486.44
1603 OLNEY_P9 1605 CWDRDSW1 1,Line,From - To,37.8,37.8,Hard Constraint,SRICGRS8,AUG_2025,PeakWD,471.47
1603 OLNEY_P9 1605 CWDRDSW1 1,Line,To - From,-37.8,37.8,Hard Constraint,DGRMGRS8,AUG_2025,PeakWE,628.13
1604 ANARENE1 1605 CWDRDSW1 1,Line,To - From,-37.8,37.8,Hard Constraint,SCRDOL29,AUG_2025,PeakWD,61.01
1621 EASTLAND 1623 MORTNVAL 3,Line,To - From,-25.2,25.2,Hard Constraint,SCLCGTN8,AUG_2025,PeakWD,905.24
1621 EASTLAND 1623 MORTNVAL 3,Line,To - From,-25.2,25.2,Hard Constraint,SCLCGTN8,AUG_2025,PeakWE,644.93
1624 LEONSW_8 909637 PUTN4B 1,Line,From - To,74.7,74.7,Hard Constraint,DPUTAB98,AUG_2025,Off-peak,661.24
1624 LEONSW_8 909637 PUTN4B 1,Line,From - To,74.7,74.7,Hard Constraint,SCISPUT8,AUG_2025,PeakWD,4177.07
1624 LEONSW_8 909637 PUTN4B 1,Line,From - To,74.7,74.7,Hard Constraint,SCISPUT8,AUG_2025,PeakWE,2771.08
1638 SLSTR1PP 1642 FLATCRK_ 1,Line,From - To,67.3,67.3,Hard Constraint,,AUG_2025,Off-peak,145.14
1685 FARMVLSW 2461 ROYSE_N5 1,Line,From - To,958.5,958.5,Hard Constraint,SFMRRYS5,AUG_2025,PeakWD,305.58
1685 FARMVLSW 2461 ROYSE_N5 1,Line,From - To,958.5,958.5,Hard Constraint,SFMRRYS5,AUG_2025,PeakWE,180.22
1692 PARIS_SW 11699 WOODARD 1,Line,To - From,-958.5,958.5,Hard Constraint,DPRSPAC5,AUG_2025,Off-peak,6.48
